"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_sp_USMAHM13",6,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,3,0,0,0,7,0,1,1,1,0,2,0,0,0,0,0,0,1,6
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_xenovorans",14,44,23,33,5,17,5,18,24,15,53,25,109,36,18,11,18,114,89,30,38,19,26,39,25,50,35,43,25,4,74,58,61,119,10,27,5,22,4,50,22,14,9,3,19,25,50
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_caribensis",17,41,20,29,2,1,3,9,8,14,31,4,48,46,24,12,17,66,15,6,4,27,32,50,15,39,23,43,23,5,136,21,89,27,8,17,13,23,7,20,20,12,14,11,15,12,63
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_fungorum",14,33,28,37,0,4,7,17,1,17,34,2,58,50,31,2,11,38,12,7,4,9,16,33,6,9,10,40,27,8,51,5,35,9,2,4,16,23,1,25,17,15,2,3,7,7,15
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_phymatum",9,41,29,50,1,20,1,15,21,13,31,3,47,26,26,6,16,39,18,6,8,15,16,43,17,28,36,51,14,3,152,4,76,1,0,13,7,45,0,49,19,14,20,2,2,5,17
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_phenoliruptrix",1,11,9,10,0,0,1,4,0,8,18,3,8,7,2,0,2,18,1,1,3,10,0,13,0,12,7,1,3,0,2,0,11,0,2,0,4,2,2,11,2,1,2,1,0,0,7
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_phytofirmans",5,24,17,29,1,26,1,16,15,13,29,5,27,41,28,6,5,13,1,7,3,17,9,31,3,25,11,21,21,4,153,2,64,4,5,2,15,19,3,4,5,6,3,4,7,2,13
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_rhizoxinica",2,45,34,16,2,16,1,9,12,24,23,6,12,31,25,5,24,31,5,9,1,5,6,23,9,15,8,23,8,2,148,3,44,0,9,16,5,48,2,6,6,6,7,5,5,9,16
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_sprentiae",4,50,19,27,2,40,1,21,21,7,59,4,25,43,57,14,5,40,9,33,31,20,21,10,33,56,25,23,16,2,130,34,63,59,3,5,2,35,3,34,2,7,5,5,7,15,32
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_sp_SOS3",21,47,25,40,0,8,3,5,19,20,17,13,53,46,47,8,4,10,7,9,1,31,13,22,18,29,16,42,21,12,145,11,65,31,0,9,4,35,1,16,18,25,22,2,13,60,39
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|s__Burkholderiales_bacterium_GJ-E10",1,31,33,59,3,17,4,28,29,25,39,6,7,62,18,7,33,27,4,8,12,25,51,50,21,26,18,74,29,8,387,20,156,6,6,31,4,137,1,18,29,10,7,5,8,10,39
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|s__Burkholderiales_bacterium_YL45",17,6,9,10,3,7,7,2,2,26,28,2,2,11,5,69,14,7,2,1,1,0,3,19,11,16,13,21,27,3,79,2,17,10,4,9,6,29,1,5,9,2,2,2,7,3,14
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|g__Leptothrix|s__Leptothrix_cholodnii",7,47,39,41,2,17,1,51,27,10,36,12,16,58,24,30,19,28,7,7,9,33,26,94,26,33,16,125,37,14,533,10,218,19,1,8,15,230,8,13,17,15,17,5,19,6,55
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|g__Rubrivivax|s__Rubrivivax_gelatinosus",13,45,56,78,3,18,10,39,58,7,46,4,15,95,29,39,22,38,7,23,28,27,22,109,39,84,56,220,41,21,704,115,424,37,6,29,8,313,3,28,57,53,157,8,38,22,71
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|g__Thiomonas|s__Thiomonas_intermedia",19,129,95,145,4,67,6,96,54,37,84,18,39,305,156,21,62,75,21,20,19,65,65,145,34,87,82,154,78,22,834,31,262,30,12,22,47,251,6,22,30,28,41,8,17,23,109
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|g__Mitsuaria|s__Mitsuaria_sp_7",11,23,27,36,1,13,3,21,15,8,24,6,22,46,21,7,10,33,6,4,7,21,17,72,21,37,14,103,30,23,495,21,220,26,7,15,18,212,2,7,21,14,10,3,18,10,48
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|g__Roseateles|s__Roseateles_depolymerans",28,64,65,52,4,20,24,100,32,47,105,20,15,105,46,23,37,63,22,12,15,32,35,101,32,39,21,145,42,17,815,17,313,18,5,23,14,425,3,5,21,23,16,7,11,25,43
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|g__Methylibium|s__Methylibium_petroleiphilum",2,24,17,23,1,6,4,18,23,8,24,1,3,26,12,4,10,25,3,14,10,28,26,71,16,32,23,98,21,10,440,6,179,25,1,15,3,217,0,5,12,15,12,2,12,45,69
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|g__Paucibacter|s__Paucibacter_sp_KCTC_42545",14,62,55,50,10,25,2,16,37,17,33,11,72,70,41,30,35,29,13,19,13,19,30,58,32,36,16,93,44,16,431,22,153,31,5,20,6,146,1,1,13,15,20,6,12,33,58
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|s__[Polyangium]_brachysporum",6,44,52,36,3,17,2,33,24,13,33,2,17,48,30,6,43,21,5,14,7,14,20,106,25,36,24,98,62,31,425,28,235,74,5,13,13,239,3,20,15,30,12,9,26,14,45
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Kinetoplastibacterium|s__Candidatus_Kinetoplastibacterium_crithidii",1,0,2,1,2,5,5,5,0,2,2,1,0,8,8,11,6,7,0,0,1,1,2,11,1,1,3,3,2,0,0,0,0,0,1,0,0,0,0,4,0,3,0,0,3,0,0
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Kinetoplastibacterium|s__Kinetoplastibacterium_blastocrithidii",1,0,2,1,0,0,1,6,0,2,0,0,0,0,1,2,1,0,1,0,1,0,1,3,5,0,2,1,2,1,0,0,1,0,1,0,1,0,0,6,3,2,4,0,0,0,0
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Kinetoplastibacterium|s__Candidatus_Kinetoplastibacterium_desouzaii",0,7,7,6,2,1,2,3,0,3,16,2,3,5,3,0,4,11,3,0,6,8,23,6,1,5,11,4,2,0,21,6,1,5,1,1,1,0,0,19,1,0,0,2,1,0,0
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Kinetoplastibacterium|s__Candidatus_Kinetoplastibacterium_galatii",15,9,0,0,0,0,1,0,20,8,0,3,2,5,9,1,3,2,3,7,24,3,2,1,0,2,3,3,1,0,0,0,4,0,0,0,2,1,0,0,0,0,3,0,1,0,0
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Kinetoplastibacterium|s__Candidatus_Kinetoplastibacterium_oncopeltii",0,1,0,9,2,9,0,1,1,2,1,3,5,3,4,1,1,1,1,1,1,2,4,5,0,0,0,0,1,0,0,2,7,2,4,3,0,0,1,5,2,3,1,0,1,11,2
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|s__beta_proteobacterium_CB",1,3,9,13,4,9,5,11,2,1,9,31,5,26,48,16,13,7,1,4,2,19,9,1,9,6,7,2,1,9,82,4,23,9,0,0,1,0,0,25,0,0,1,0,1,2,6
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|s__Betaproteobacteria_bacterium_GR16-43",11,45,40,38,2,15,3,30,30,12,32,9,13,69,43,4,21,36,15,12,7,28,21,55,24,74,91,97,28,11,280,52,168,11,1,15,18,101,2,15,33,13,11,11,12,65,40
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Candidatus_Accumulibacter|s__Candidatus_Accumulibacter_phosphatis",3,21,31,29,2,11,9,52,17,16,21,12,40,46,24,12,23,11,12,19,13,23,22,44,16,17,25,59,20,5,175,21,75,6,4,11,20,48,2,33,23,18,12,13,26,4,31
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Candidatus_Profftella|s__Candidatus_Profftella_armatura",3,0,1,0,0,0,4,1,2,3,1,3,1,1,0,1,2,0,1,1,2,0,0,0,1,0,0,2,0,0,15,0,0,0,0,1,1,0,1,4,6,6,3,0,0,0,0
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Thiobacillus|s__Thiobacillus_denitrificans",14,85,43,77,8,53,5,105,34,9,55,11,21,95,71,13,42,69,11,40,39,31,41,73,18,44,27,105,39,13,242,46,112,26,2,15,54,116,8,16,16,5,4,14,9,55,37
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales|f__Methylophilaceae|g__Methylophilus|s__Methylophilus_sp_TWE2",0,33,14,11,3,22,8,30,32,7,14,7,37,21,29,20,29,17,46,9,4,29,13,11,20,16,11,6,14,2,69,1,15,1,3,5,5,12,1,5,4,5,3,1,2,2,14
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales|f__Methylophilaceae|g__Methylobacillus|s__Methylobacillus_flagellatus",3,49,31,20,2,8,6,48,7,16,36,4,41,45,20,8,27,43,7,1,8,28,30,17,36,20,5,24,20,3,208,1,59,0,3,1,11,54,1,6,10,2,1,4,2,1,15
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales|f__Methylophilaceae|g__Methylovorus|s__Methylovorus_glucosotrophus",18,16,15,36,4,24,3,44,21,10,28,0,16,63,38,8,79,2,4,6,5,11,14,8,6,2,3,9,9,0,18,1,6,0,0,1,1,8,0,1,12,8,8,0,1,1,3
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales|f__Methylophilaceae|g__Methylovorus|s__Methylovorus_sp_MP688",1,14,11,24,0,3,1,8,9,2,12,2,12,25,8,8,3,1,0,6,0,0,4,10,6,9,13,12,1,0,24,0,3,0,0,1,1,1,0,2,1,0,3,0,3,0,9
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales|f__Methylophilaceae|g__Methylotenera|s__Methylotenera_mobilis",3,24,12,16,2,9,5,25,4,6,18,3,12,37,31,1,6,30,44,8,6,20,29,13,16,12,13,3,10,1,34,9,5,5,0,3,2,2,0,5,0,0,1,2,2,1,5
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales|f__Methylophilaceae|g__Methylotenera|s__Methylotenera_versatilis",7,33,30,56,9,16,12,17,1,29,29,31,15,23,15,6,27,10,27,11,6,79,28,9,1,18,14,14,6,8,33,5,6,3,1,2,3,3,0,15,3,1,1,1,1,0,7
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales|f__Methylophilaceae|g__Candidatus_Methylopumilus|s__Candidatus_Methylopumilus_planktonicus",1,1,2,2,0,0,1,1,0,4,1,1,1,2,3,4,3,2,9,0,2,0,4,2,5,1,0,2,1,0,6,2,2,0,0,4,0,4,0,2,2,6,4,0,0,0,1
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales|f__Methylophilaceae|g__Candidatus_Methylopumilus|s__Candidatus_Methylopumilus_turicensis",2,15,4,6,3,22,1,20,2,8,9,2,0,16,23,5,6,3,4,10,3,9,45,6,5,8,17,7,2,0,28,0,6,0,0,3,0,10,0,4,0,0,0,0,2,0,16
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_gonorrhoeae",274,6387,2728,2203,44,445,473,929,239,1237,3505,64,84,1568,3335,131,297,2263,1079,219,301,676,611,2336,4754,665,619,422,1695,111,1142,41,169,40,87,88,187,2423,82,21,43,48,16,80,120,66,317
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_lactamica",329,7899,4255,3563,216,1100,838,1710,560,1864,4874,286,264,2587,6225,215,477,8103,3523,418,550,1722,1806,3754,6980,1053,988,623,2661,206,2563,38,310,29,20,106,108,3283,15,177,70,72,17,36,80,38,392
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_meningitidis",1260,24383,13543,12368,192,2388,2761,5354,1012,5494,17923,307,636,8621,18710,525,1571,9943,5352,1037,1674,3221,3565,12408,28803,3769,3885,1999,9868,548,6511,114,739,119,35,104,291,12278,90,154,173,178,47,95,161,91,1386
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_sicca",2202,111922,41588,76946,797,13748,5704,12517,1213,19981,153149,2188,4760,15149,59191,2132,10897,34123,40257,2150,6360,8135,5125,21937,39935,5772,4624,12896,15692,550,7912,92,929,65,20,97,1941,129399,117,194,271,180,46,188,820,180,1166
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_elongata",1424,104528,61235,29797,609,3878,1747,8662,3564,12524,19603,454,520,71392,202121,1513,2516,10459,4517,1993,2054,31925,46086,16168,15174,3369,2162,2075,24524,1687,12425,118,1505,166,61,210,351,20047,196,243,310,230,44,174,273,96,2851
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_weaveri",108,2625,1430,1512,56,736,207,799,882,708,1464,85,69,1927,1778,143,385,1289,408,531,145,889,560,1249,1687,292,252,417,751,188,3127,24,347,22,13,46,70,483,26,33,94,88,60,20,30,20,591
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella|s__Kingella_kingae",70,2874,1160,744,160,1820,87,687,629,695,1164,38,24,3352,1725,86,215,702,379,10235,109,2114,480,398,433,203,91,752,424,213,6200,39,668,39,2,25,142,149,25,58,100,153,17,19,21,6,981
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Snodgrassella|s__Snodgrassella_alvi",18,125,72,89,9,57,22,82,56,42,98,14,18,202,140,28,72,110,97,39,12,73,57,129,75,32,28,43,44,4,277,2,31,1,2,15,7,23,2,7,15,15,5,4,4,21,58
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquaspirillum|s__Aquaspirillum_sp_LM1",15,233,148,193,12,84,17,150,130,54,139,13,146,199,185,33,67,73,23,77,21,125,84,135,57,37,25,84,55,16,441,13,100,2,3,12,22,109,5,8,31,15,3,5,21,14,73
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Chromobacterium|s__Chromobacterium_violaceum",7,175,100,123,2,46,8,65,53,49,102,17,47,164,95,29,55,58,27,27,9,41,52,105,50,40,13,96,65,12,440,8,162,3,10,19,17,169,2,7,31,20,4,6,3,12,52
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Chromobacterium|s__Chromobacterium_vaccinii",19,185,105,124,5,63,8,76,53,39,77,11,163,173,141,15,36,111,28,35,25,54,46,118,59,52,22,67,61,24,432,11,92,10,10,14,17,119,3,10,15,10,6,6,6,8,49
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Laribacter|s__Laribacter_hongkongensis",17,133,115,134,10,100,13,147,55,45,110,4,34,242,105,12,57,103,20,51,21,76,92,117,59,67,36,83,60,26,503,46,140,32,7,13,26,128,2,67,20,19,14,8,29,21,59
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Pseudogulbenkiania|s__Pseudogulbenkiania_sp_NH8B",27,174,134,172,8,41,22,134,80,93,212,16,68,221,127,25,50,131,63,56,29,49,51,152,59,77,54,100,64,14,480,39,169,39,1,26,32,151,5,39,39,20,17,6,38,25,57
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Jeongeupia|s__Jeongeupia_sp_USM3",13,91,73,107,3,61,7,122,60,28,85,7,27,164,95,20,47,108,19,30,31,44,59,78,55,66,42,74,54,13,260,52,122,98,3,15,0,82,5,51,32,17,10,3,15,12,82
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Azoarcus|s__Azoarcus_sp_BH72",0,7,2,6,0,2,1,4,9,1,4,0,2,11,3,1,5,6,3,2,0,3,8,6,0,3,8,13,1,2,31,0,15,0,1,2,0,10,0,7,8,1,4,0,0,2,2
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Azoarcus|s__Azoarcus_sp_CIB",13,49,32,51,4,51,6,79,13,18,58,7,66,93,66,8,24,57,9,33,12,32,50,61,23,58,41,111,29,11,224,44,124,31,5,13,14,115,9,45,38,30,27,7,34,109,48
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Azoarcus|s__Azoarcus_olearius",2,1,14,25,0,0,0,1,6,4,9,0,1,6,7,0,6,2,1,0,1,2,3,8,3,3,5,3,4,3,36,0,10,0,1,3,5,19,1,1,3,5,7,0,6,2,20
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Azoarcus|s__Azoarcus_sp_KH32C",24,53,38,40,2,16,6,33,20,12,45,6,43,47,75,9,17,48,12,21,3,30,25,71,21,45,30,79,18,19,229,36,137,47,7,8,15,91,4,15,17,21,16,12,23,46,38
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Thauera|s__Thauera_sp_MZ1T",6,47,69,79,2,19,24,36,71,9,40,19,25,100,52,26,41,104,19,6,9,21,24,42,28,36,32,107,37,15,434,27,184,39,4,12,4,156,7,25,18,18,17,6,17,19,57
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Thauera|s__Thauera_chlorobenzoica",2,52,37,50,2,43,2,106,9,33,58,10,31,145,72,16,35,52,8,25,7,29,46,77,79,58,95,67,33,28,314,48,155,16,5,14,14,138,4,9,15,8,2,3,11,6,38
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Thauera|s__Thauera_humireducens",9,57,56,54,1,34,4,37,22,19,54,21,46,86,38,13,27,33,8,9,5,32,26,75,43,35,45,148,52,26,609,23,238,38,3,17,28,222,2,11,31,29,24,14,43,36,65
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Dechloromonas|s__Dechloromonas_aromatica",7,59,88,95,7,44,11,116,20,72,117,8,17,105,51,13,61,85,17,15,8,42,60,55,27,37,55,71,27,8,344,9,143,18,2,31,15,111,4,10,24,23,70,7,14,7,72
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Azospira|s__Azospira_oryzae",15,109,82,114,9,36,10,56,55,30,91,12,22,140,135,15,36,39,27,25,12,41,60,92,59,70,57,142,54,17,529,59,256,91,4,13,30,298,4,49,29,21,18,8,39,24,107
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Methyloversatilis|s__Methyloversatilis_sp_RAC08",6,29,51,59,2,26,2,76,22,25,58,5,24,121,56,13,33,30,6,8,8,7,16,60,16,40,28,38,32,9,223,34,98,45,1,4,4,133,3,80,21,15,8,4,16,65,33
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Aromatoleum|s__Aromatoleum_aromaticum",43,61,26,69,3,67,7,124,59,24,71,8,12,127,88,29,53,88,35,23,12,41,47,56,26,37,34,46,24,9,145,29,87,16,11,27,22,53,6,28,28,26,26,5,13,10,47
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Sulfuritalea|s__Sulfuritalea_hydrogenivorans",26,69,38,40,2,41,4,88,26,69,57,15,32,80,66,7,30,54,8,18,17,37,60,69,14,37,14,81,39,7,317,17,130,8,5,9,27,116,5,31,16,14,20,8,14,9,31
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae|g__Gallionella|s__Gallionella_capsiferriformans",5,48,37,44,7,50,9,110,9,22,35,15,17,72,54,23,58,86,21,16,7,29,55,24,17,18,16,24,22,5,104,4,16,2,1,11,14,9,2,8,8,5,4,4,1,4,13
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae|g__Sideroxydans|s__Sideroxydans_lithotrophicus",16,84,45,96,7,32,7,76,13,35,65,13,22,126,67,15,33,92,18,11,15,23,35,58,8,25,6,49,18,7,137,4,48,1,1,4,22,65,0,4,25,13,13,4,13,20,10
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Sulfuricellales|f__Sulfuricellaceae|g__Sulfuricella|s__Sulfuricella_denitrificans",5,55,29,65,1,29,2,62,30,13,54,5,4,81,58,8,58,80,7,50,22,33,38,49,22,52,33,45,23,8,139,8,47,8,1,13,10,40,5,1,8,1,3,4,8,31,10
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Myxococcus|s__Myxococcus_fulvus",14,21,24,73,2,9,1,27,5,12,36,2,3,34,32,3,11,13,6,13,0,23,30,25,5,63,46,84,29,18,93,61,171,87,8,28,15,19,1,26,51,41,21,6,69,144,67
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Myxococcus|s__Myxococcus_xanthus",9,5,5,6,0,0,1,0,3,2,6,8,4,1,3,2,2,1,0,24,0,4,1,36,7,22,25,91,24,5,23,14,22,24,2,14,22,14,2,7,18,13,8,8,13,7,15
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Myxococcus|s__Myxococcus_stipitatus",4,10,16,49,3,7,0,14,21,4,23,7,16,21,19,9,26,10,19,6,11,42,17,25,8,28,32,19,11,7,48,26,41,33,3,11,3,2,1,30,7,11,9,6,30,23,12
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Myxococcus|s__Myxococcus_hansupus",6,4,10,22,0,1,1,7,0,3,8,10,6,12,17,2,2,3,25,6,0,7,6,15,20,22,23,32,17,3,39,9,31,26,3,11,3,3,5,6,15,10,7,4,22,26,23
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Corallococcus|s__Corallococcus_coralloides",13,16,5,12,2,2,2,6,4,7,9,9,1,7,1,9,12,4,5,5,11,5,7,42,9,58,23,87,20,15,72,58,81,79,19,22,24,29,6,26,30,47,30,5,7,6,53
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Archangiaceae|g__Stigmatella|s__Stigmatella_aurantiaca",14,21,20,59,12,25,8,19,11,9,19,15,17,30,46,7,40,12,18,12,12,73,34,41,10,51,51,87,22,23,31,39,80,74,6,37,14,9,15,43,23,33,20,7,34,111,53
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Archangiaceae|g__Archangium|s__Archangium_gephyra",9,21,26,33,7,31,2,46,7,78,117,9,7,98,39,7,19,29,3,14,0,14,13,70,16,52,38,137,38,14,69,64,72,67,12,43,24,27,4,17,41,47,50,8,45,58,66
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Vulgatibacteraceae|g__Vulgatibacter|s__Vulgatibacter_incomptus",8,30,36,20,1,3,2,2,19,8,14,22,4,38,24,19,40,8,11,10,6,11,5,21,11,53,111,62,25,14,30,28,28,41,13,44,32,3,5,28,36,28,22,8,19,25,67
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Anaeromyxobacteraceae|g__Anaeromyxobacter|s__Anaeromyxobacter_dehalogenans",11,15,28,25,5,0,0,3,27,8,13,11,5,12,5,1,8,6,3,18,8,10,8,37,11,43,49,75,16,9,54,64,75,47,9,20,21,26,9,27,21,22,24,7,38,46,69
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Anaeromyxobacteraceae|g__Anaeromyxobacter|s__Anaeromyxobacter_sp_Fw109-5",8,13,14,34,1,10,4,6,8,5,19,9,1,32,18,5,10,5,9,4,12,7,14,15,23,59,55,101,18,14,43,27,85,52,14,34,7,11,7,25,38,28,36,7,23,85,55
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Anaeromyxobacteraceae|g__Anaeromyxobacter|s__Anaeromyxobacter_sp_K",1,4,7,12,0,0,0,2,3,15,16,0,0,4,7,2,1,1,1,4,2,2,0,4,5,21,17,37,6,3,19,17,32,35,0,5,2,0,0,1,3,10,13,2,25,18,12
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae|g__Chondromyces|s__Chondromyces_crocatus",15,24,43,28,3,14,2,26,49,2,13,11,29,46,39,15,31,3,2,16,9,11,17,21,12,56,75,58,18,14,51,44,59,65,8,24,16,11,8,32,15,25,14,7,30,23,28
